state,tor_length,tor_width,year,injuries,fatalities,tor_scale_unified
TX,0.2,50.0,2004,0,0,EF0
IA,0.3,30.0,2004,0,0,EF0
IA,0.5,40.0,2004,0,0,EF0
NE,0.1,10.0,2004,0,0,EF0
IA,17.0,100.0,2004,0,0,EF1
IA,2.0,50.0,2004,0,0,EF0
NE,0.2,20.0,2004,0,0,EF0
IA,0.5,50.0,2004,0,0,EF0
IA,0.2,30.0,2004,0,0,EF0
MS,6.0,100.0,2004,0,0,EF1
IN,2.9,200.0,2004,0,0,EF1
IA,0.5,30.0,2004,0,0,EF0
IA,5.0,300.0,2004,0,0,EF1
TX,2.0,50.0,2004,0,0,EF0
WA,0.2,70.0,2004,0,0,EF0
IA,3.5,100.0,2004,0,0,EF1
NE,0.2,10.0,2004,0,0,EF0
TX,0.2,20.0,2004,0,0,EF0
TX,0.1,25.0,2004,0,0,EF0
IL,8.1,440.0,2004,0,0,EF1
IL,2.8,30.0,2004,0,0,EF0
TX,0.1,20.0,2004,0,0,EF0
MS,0.7,75.0,2004,0,0,EF1
MS,6.0,100.0,2004,0,0,EF1
MN,1.5,50.0,2004,0,0,EF0
MN,7.0,50.0,2004,0,0,EF1
MO,0.2,50.0,2004,0,0,EF0
KY,7.8,300.0,2004,2,0,EF2
KY,3.0,100.0,2004,6,0,EF3
MO,0.2,50.0,2004,0,0,EF0
MO,1.5,50.0,2004,0,0,EF0
KS,0.1,50.0,2004,0,0,EF0
KS,0.1,50.0,2004,0,0,EF0
IA,0.2,30.0,2004,0,0,EF0
KS,2.5,150.0,2004,0,0,EF1
KS,4.0,125.0,2004,0,0,EF1
KS,3.5,100.0,2004,0,0,EF1
OK,0.3,50.0,2004,0,0,EF0
OK,0.1,30.0,2004,0,0,EF0
OK,0.2,25.0,2004,0,0,EF1
OK,0.2,30.0,2004,0,0,EF1
IN,0.1,50.0,2004,0,0,EF1
AR,0.2,25.0,2004,0,0,EF0
AR,0.5,25.0,2004,0,0,EF0
AR,1.9,25.0,2004,0,0,EF0
AR,2.0,25.0,2004,0,0,EF1
ND,1.0,600.0,2004,0,0,EF1
ND,0.0,20.0,2004,0,0,EF0
ND,3.0,60.0,2004,0,0,EF1
MO,0.2,20.0,2004,0,0,EF0
TN,0.1,100.0,2004,0,0,EF0
